,,,,,,,,,,,,,,,
编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
SPE00287,45°弯头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,1-1/2",,个,0.79,Kg,
SPE00288,45°弯头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,1-1/2",,个,0.79,Kg,
SPE00289,45°弯头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,1-1/2",,个,0.79,Kg,
SPE00290,45°弯头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,1-1/2",,个,0.8,Kg,
SPE00292,45°弯头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,2",,个,1.25,Kg,
SPE00293,45°弯头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,2",,个,1.25,Kg,
SPE00294,45°弯头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,2",,个,2.3,Kg,
SPE00295,45°弯头,CL6000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,2",,个,2.3,Kg,
SPE00296,45°弯头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,2",,个,2.3,Kg,
SPE00298,45°弯头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,2",,个,1.25,Kg,
SPE00299,45°弯头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,2",,个,1.25,Kg,
SPE00300,45°弯头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,2",,个,1.25,Kg,
SPE00301,45°弯头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,2",,个,1.25,Kg,
SPE00302,45°弯头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,2",,个,1.25,Kg,
SPE00303,45°弯头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,2",,个,1.3,Kg,
SPE00504,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,2-1/2",Φ73,个,2.3,Kg,
SPE00505,90°长半径弯头,3.18mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.5,Kg,
SPE00506,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,0.85,Kg,
SPE00507,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,2.3,Kg,
SPE00508,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,2.3,Kg,
SPE00509,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.37,Kg,
SPE00510,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.4,Kg,
SPE00511,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.8,Kg,
SPE00512,90°长半径弯头,SCH80,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.8,Kg,
SPE00513,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,2-1/2",Φ73,个,1.8,Kg,
SPE00514,90°长半径弯头,3.18mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,2-1/2",Φ73,个,1.5,Kg,
SPE00515,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,2-1/2",Φ73,个,0.85,Kg,
SPE00516,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,2-1/2",Φ73,个,1.37,Kg,
SPE00517,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,2-1/2",Φ73,个,1.4,Kg,
SPE00518,90°长半径弯头,3.18mm,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,2-1/2",Φ73,个,1.3,Kg,
SPE00519,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,2-1/2",Φ73,个,0.85,Kg,
SPE00520,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,2-1/2",Φ73,个,0.85,Kg,
SPE00521,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,3",Φ88.9,个,2.3,Kg,
SPE00522,90°长半径弯头,3.18mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.2,Kg,
SPE00523,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,1.2,Kg,
SPE00524,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.3,Kg,
SPE00525,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,3.9,Kg,
SPE00526,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.19,Kg,
SPE00527,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.2,Kg,
SPE00528,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.87,Kg,
SPE00529,90°长半径弯头,SCH80,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,2.87,Kg,
SPE00530,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3",Φ88.9,个,3,Kg,
SPE00531,90°长半径弯头,3.18mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,3",Φ88.9,个,2.2,Kg,
SPE00532,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,3",Φ88.9,个,1.2,Kg,
SPE00533,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,3",Φ88.9,个,2.19,Kg,
SPE00534,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,3",Φ88.9,个,2.2,Kg,
SPE00535,90°长半径弯头,3.18mm,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,3",Φ88.9,个,2.1,Kg,
SPE00536,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,3",Φ88.9,个,1.2,Kg,
SPE00537,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,3",Φ88.9,个,1.2,Kg,
SPE00538,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,3-1/2",Φ101.6,个,,Kg,
SPE00539,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,1.7,Kg,
SPE00540,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,,Kg,
SPE00541,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,,Kg,
SPE00542,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,2.96,Kg,
SPE00543,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,2.9,Kg,
SPE00544,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,4.06,Kg,
SPE00545,90°长半径弯头,SCH80,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,4.06,Kg,
SPE00546,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,3-1/2",Φ101.6,个,4,Kg,
SPE00547,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,3-1/2",Φ101.6,个,1.7,Kg,
SPE00548,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,3-1/2",Φ101.6,个,2.96,Kg,
SPE00549,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,3-1/2",Φ101.6,个,2.9,Kg,
SPE00550,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,3-1/2",Φ101.6,个,1.7,Kg,
SPE00551,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,3-1/2",Φ101.6,个,1.7,Kg,
SPE00552,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,4",Φ114.3,个,8.1,Kg,
SPE00553,90°长半径弯头,3.58mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,4,Kg,
SPE00554,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,2.2,Kg,
SPE00555,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,8.1,Kg,
SPE00556,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,8.1,Kg,
SPE00557,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,4.13,Kg,
SPE00558,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,4.2,Kg,
SPE00559,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,5.6,Kg,
SPE00560,90°长半径弯头,SCH80,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,5.6,Kg,
SPE00561,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,4",Φ114.3,个,6.2,Kg,
SPE00562,90°长半径弯头,3.58mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,4",Φ114.3,个,4,Kg,
SPE00563,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,4",Φ114.3,个,2.2,Kg,
SPE00564,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,4",Φ114.3,个,4.13,Kg,
SPE00565,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,4",Φ114.3,个,4.2,Kg,
SPE00566,90°长半径弯头,3.58mm,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,4",Φ114.3,个,3.9,Kg,
SPE00567,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,4",Φ114.3,个,2.2,Kg,
SPE00568,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,4",Φ114.3,个,2.2,Kg,
SPE00569,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,5",Φ141.3,个,14.9,Kg,
SPE00570,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,3.6,Kg,
SPE00571,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,14.9,Kg,
SPE00572,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,14.9,Kg,
SPE00573,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,6.89,Kg,
SPE00574,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,6.9,Kg,
SPE00575,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,9.62,Kg,
SPE00576,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,5",Φ141.3,个,9.6,Kg,
SPE00577,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,5",Φ141.3,个,3.6,Kg,
SPE00578,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,5",Φ141.3,个,6.89,Kg,
SPE00579,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,5",Φ141.3,个,6.9,Kg,
SPE00580,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,5",Φ141.3,个,3.6,Kg,
SPE00581,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,5",Φ141.3,个,3.6,Kg,
SPE00582,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,6",Φ168.3,个,24.6,Kg,
SPE00583,90°长半径弯头,4.37mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,11.6,Kg,
SPE00584,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,5.4,Kg,
SPE00585,90°长半径弯头,SCH120,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,19.7,Kg,
SPE00586,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,24.6,Kg,
SPE00587,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,24.6,Kg,
SPE00588,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,10.7,Kg,
SPE00589,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,11,Kg,
SPE00590,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,16.5,Kg,
SPE00591,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,6",Φ168.3,个,16.3,Kg,
SPE00592,90°长半径弯头,4.37mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,6",Φ168.3,个,11.6,Kg,
SPE00593,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,6",Φ168.3,个,5.4,Kg,
SPE00594,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,6",Φ168.3,个,10.7,Kg,
SPE00595,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,6",Φ168.3,个,11,Kg,
SPE00596,90°长半径弯头,4.37mm,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,6",Φ168.3,个,10.2,Kg,
SPE00597,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,6",Φ168.3,个,5.4,Kg,
SPE00598,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,6",Φ168.3,个,5.4,Kg,
SPE00599,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 1,QA1,8",Φ219.1,个,54,Kg,
SPE00600,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,10.6,Kg,
SPE00601,90°长半径弯头,SCH120,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,43.9,Kg,
SPE00602,90°长半径弯头,SCH160,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,54,Kg,
SPE00603,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,54,Kg,
SPE00604,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,16.5,Kg,
SPE00605,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,21.6,Kg,
SPE00606,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,30,Kg,
SPE00607,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,31.6,Kg,
SPE00608,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,8",Φ219.1,个,33.1,Kg,
SPE00609,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,8",Φ219.1,个,10.6,Kg,
SPE00610,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,8",Φ219.1,个,16.5,Kg,
SPE00611,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,8",Φ219.1,个,21.6,Kg,
SPE00612,90°长半径弯头,SCH40S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,8",Φ219.1,个,21.5,Kg,
SPE00613,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,8",Φ219.1,个,10.6,Kg,
SPE00614,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,8",Φ219.1,个,10.6,Kg,
SPE00615,90°长半径弯头,SCH20,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,8",Φ219.1,个,16.6,Kg,
SPE00616,90°长半径弯头,SCH140,SS,BW,026Cr18Ni12Mo2N,CP05T3017,ASME B16.9,RCC-M 1,QA1,10",Φ273,个,94,Kg,
SPE00617,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,19.5,Kg,
SPE00618,90°长半径弯头,SCH140,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,94,Kg,
SPE00619,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,104.4,Kg,
SPE00620,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,25.8,Kg,
SPE00621,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,37,Kg,
SPE00622,90°长半径弯头,SCH60,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,48.6,Kg,
SPE00623,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,60.7,Kg,
SPE00624,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,10",Φ273,个,52,Kg,
SPE00625,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,10",Φ273,个,19.5,Kg,
SPE00626,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,10",Φ273,个,25.8,Kg,
SPE00627,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,10",Φ273,个,37,Kg,
SPE00628,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,10",Φ273,个,52,Kg,
SPE00629,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,10",Φ273,个,19.5,Kg,
SPE00630,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,10",Φ273,个,19.5,Kg,
SPE00631,90°长半径弯头,SCH20,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,10",Φ273,个,25.8,Kg,
SPE00632,90°长半径弯头,SCH140,SS,BW,026Cr18Ni12Mo2N,CP05T3017,ASME B16.9,RCC-M 1,QA1,12",Φ323.8,个,151.4,Kg,
SPE00633,90°长半径弯头,7.14mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,,Kg,
SPE00634,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,27.5,Kg,
SPE00635,90°长半径弯头,SCH140,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,151.4,Kg,
SPE00636,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,173.7,Kg,
SPE00637,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,61,Kg,
SPE00638,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,97.4,Kg,
SPE00639,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,12",Φ323.8,个,80,Kg,
SPE00640,90°长半径弯头,7.14mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,12",Φ323.8,个,51.4,Kg,
SPE00641,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,12",Φ323.8,个,27.5,Kg,
SPE00642,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,12",Φ323.8,个,61,Kg,
SPE00643,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,12",Φ323.8,个,80,Kg,
SPE00644,90°长半径弯头,7.14mm,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,12",Φ323.8,个,54,Kg,
SPE00645,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,12",Φ323.8,个,27.2,Kg,
SPE00646,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,12",Φ323.8,个,27.5,Kg,
SPE00647,90°长半径弯头,SCH20,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,12",Φ323.8,个,37.3,Kg,
SPE00648,90°长半径弯头,SCH140,SS,BW,026Cr18Ni12Mo2N,CP05T3017,ASME B16.9,RCC-M 1,QA1,14",Φ355.6,个,215.2,Kg,
SPE00649,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,36,Kg,
SPE00650,90°长半径弯头,SCH140,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,215.2,Kg,
SPE00651,90°长半径弯头,SCH160,SS,BW,P280GH,CP05T3019,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,239.1,Kg,
SPE00652,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,60.2,Kg,
SPE00653,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,85.1,Kg,
SPE00654,90°长半径弯头,SCH60,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,92,Kg,
SPE00655,90°长半径弯头,SCH80,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,139,Kg,
SPE00656,90°长半径弯头,SCH80S,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 2,QA1,14",Φ355.6,个,84,Kg,
SPE00657,90°长半径弯头,SCH20,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,14",Φ355.6,个,60.2,Kg,
SPE00658,90°长半径弯头,SCH40,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 3,QA2,14",Φ355.6,个,85.1,Kg,
SPE00659,90°长半径弯头,SCH60,SS,BW,022Cr19Ni10,CP05T3017,ASME B16.9,RCC-M 3,QA2,14",Φ355.6,个,111.26,Kg,
SPE00660,90°长半径弯头,SCH10S,SS,BW,022Cr17Ni12Mo2,CP05T3023,ASME B16.9,NA,QNCa,14",Φ355.6,个,36,Kg,
SPE00661,90°长半径弯头,SCH10S,SS,BW,022Cr19Ni10,CP05T3023,ASME B16.9,NA,QNCa,14",Φ355.6,个,36,Kg,
SPE00662,90°长半径弯头,SCH20,SS,BW,20,CP05T3025,ASME B16.9,NA,QNCa,14",Φ355.6,个,60,Kg,
SPE00663,90°长半径弯头,SCH140,SS,BW,026Cr18Ni12Mo2N,CP05T3017,ASME B16.9,RCC-M 1,QA1,16",Φ406.4,个,323.2,Kg,
SPE00664,90°长半径弯头,8.74mm,SS,BW,20,CP05T3019,ASME B16.9,RCC-M 2,QA1,16",Φ406.4,个,,Kg,
