noun_hash,noun_name,attr_hashes,attr_names,count
0x000000CE,,0x001C10A3;0x001C112A;0x001C1138,  LLB; ELLB;NELLB,3
0x00000782,,0x001C1138,NELLB,1
0x00000726,,0x001C1138,NELLB,1
0x000004B3,,0x001C1473,DIMLB,1
0x00000C58,,0x001C150B,UNMLB,1
0x000002B1,,0x001C1511;0x001C1515, OMLB;DOMLB,2
0x000008B7,,0x001C15A1,ITMLB,1
0x00000861,,0x001C16B5,OCNLB,1
0x000008C8,,0x001C16E8,LENLB,1
0x00000796,,0x001C16F8,AFNLB,1
0x00000AC3,,0x001C1732,EHNLB,1
0x000001D6,,0x001C177E, KNLB,1
0x00000E09,,0x001C188A,YTNLB,1
0x00000AF4,,0x001C18B6,OVNLB,1
0x000009C9,,0x001C1B34,ESOLB,1
0x0000080F,,0x001C1B34,ESOLB,1
0x00000286,,0x001C1C8E;0x001C1C9C;0x001C1D81, EPLB;NEPLB; NPLB,3
0x0000063F,,0x001C1DAF,SOPLB,1
0x0000049E,,0x001C21D8,DARLB,1
0x0000014C,,0x001C225B, FRLB,1
0x00000F5A,,0x001C22BF,SIRLB,1
0x00001144,,0x001C23C3,ISRLB,1
0x000009B8,,0x001C267D,ERSLB,1
0x00000936,,0x001C26C0,RTSLB,1
0x00000BE7,,0x001C26C7,YTSLB,1
0x00000A8F,,0x001C2C63,CTULB,1
0x00000577,,0x001C3F83,LLAMB,1
0x00000523,,0x001C40C1,FXAMB,1
0x00001083,,0x001C42B6,UOBMB,1
0x00000F6A,,0x001C42B6,UOBMB,1
0x00000DD4,,0x001C42B6,UOBMB,1
0x00000BD4,,0x001C42B6,UOBMB,1
0x00000A26,,0x001C42B6,UOBMB,1
0x0000075C,,0x001C42B6,UOBMB,1
0x000006BE,,0x001C42B9,XOBMB,1
0x00000651,,0x001C4414,TACMB,1
0x000004CB,,0x001C4456,EDCMB,1
0x00000838,,0x001C460A,ITCMB,1
0x000007E1,,0x001C4758,SEDMB,1
0x000006AF,,0x001C4DCB,WLFMB,1
0x0000051A,,0x001C567B,FNIMB,1
0x00000695,,0x001C5DED,VCLMB,1
0x000004D5,,0x001C6121,EGMMB,1
0x0000087A,,0x001C6983,REPMB,1
0x00000609,,0x001C6983,REPMB,1
0x00000B2E,,0x001C6A3C,NLPMB,1
0x0000035D,,0x001C6AD0;0x001C6AD5, RPMB;ERPMB,2
0x000006FB,,0x001C6AD6,FRPMB,1
0x00000F66,,0x001C6AFF,TSPMB,1
0x00000759,,0x001C6AFF,TSPMB,1
0x00000DB2,,0x001C6B33,RUPMB,1
0x00000446,,0x001C6B72, XPMB,1
0x00000503,,0x001C6F29,FERMB,1
0x00000696,,0x001C74B5,VCTMB,1
0x000005F0,,0x001C7701,PYTMB,1
0x00000697,,0x001C7A67,VCVMB,1
0x00000582,,0x001C7BA1,LOVMB,1
0x00000220,,0x001C8C75;0x001C8C7A, MANB;EMANB,2
0x000010D0,,0x001C9CD7,IFGNB,1
0x00000996,,0x001C9E17,ERGNB,1
0x00000DFA,,0x001C9E61,YTGNB,1
0x000000AC,,0x001CB360;0x001CB365, DONB;EDONB,2
0x00000C61,,0x001CC2C0,UNTNB,1
0x00000244,,0x001CC569;0x001CC56B, MUNB;BMUNB,2
0x0000090D,,0x001CDE29,RDCOB,1
0x00000CB9,,0x001CDF4E,NOCOB,1
0x00000920,,0x001CDF52,ROCOB,1
0x00000EC1,,0x001CDF58,XOCOB,1
0x00000C07,,0x001CDFAD,ASCOB,1
0x00000CBE,,0x001CF7AC,OCLOB,1
0x00000BA0,,0x001CF7AC,OCLOB,1
0x00000C54,,0x001CF8DB,UNLOB,1
