,编码,类型,英文品名,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级 ,公称直径,外径/Φ,单位,单重,单重单位,备注,
,SPF00471,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"4""",,个,13.20 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00472,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(3.58mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"4""",,个,13.20 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00473,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"4""",,个,19.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00474,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(3.58mm),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"4""",,个,13.20 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00475,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"4""",,个,13.20 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00476,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"4""",,个,13.20 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00492,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch160),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 1,QA1,"6""",,个,172.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00493,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00494,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(4.37mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00495,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,37.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00496,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,37.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00497,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,50.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00498,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch120),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,50.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00499,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,70.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00500,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch160),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"6""",,个,172.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00501,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00502,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(4.37mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00503,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"6""",,个,37.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00504,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(4.37mm),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00505,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00506,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"6""",,个,14.60 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00507,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch160),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 1,QA1,"8""",,个,261.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00508,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00509,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00510,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,53.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00511,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,53.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00512,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,85.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00513,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch120),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,85.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00514,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,119.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00515,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch160),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"8""",,个,261.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00516,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00517,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00518,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"8""",,个,53.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00519,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00520,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00521,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"8""",,个,30.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00522,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch140),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 1,QA1,"10""",,个,485.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00523,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00524,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00525,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,86.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00526,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,86.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00527,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,118.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00528,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch60),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,118.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00529,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,204.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00530,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch140),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"10""",,个,485.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00531,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00532,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00533,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"10""",,个,86.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00534,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00535,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00536,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"10""",,个,41.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00537,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch140),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 1,QA1,"12""",,个,730.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00538,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00539,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(7.14mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00540,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,102.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00541,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,102.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00542,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,163.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00543,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,303.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00544,FLAN,Orifice Flange,对焊带测量孔法兰,CL2500(Sch140),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"12""",,个,730.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00545,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00546,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(7.14mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00547,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"12""",,个,102.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00548,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(7.14mm),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00549,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00550,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"12""",,个,62.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00552,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00553,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00554,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch60),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,150.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00555,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,150.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00556,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,186.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00557,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"14""",,个,400.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00559,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00560,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00561,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch60),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"14""",,个,150.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00562,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00563,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00564,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"14""",,个,84.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00566,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00567,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(8.74mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00568,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch60),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,190.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00569,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch80),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,190.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00570,FLAN,Orifice Flange,对焊带测量孔法兰,CL900(Sch80S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,224.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00571,FLAN,Orifice Flange,对焊带测量孔法兰,CL1500(Sch160),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 2,QA1,"16""",,个,510.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00573,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch40S),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00574,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(9.8mm),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00575,FLAN,Orifice Flange,对焊带测量孔法兰,CL600(Sch60),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 3,QA2,"16""",,个,190.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00576,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00577,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S30403,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00578,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10S),,RF/WN,S31603,CP05T3023,ASME B16.36(CP05T2002),NA,QNCa,"16""",,个,111.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00580,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,022Cr19Ni10,CP05T3038,ASME B16.36(CP05T2002),RCC-M 2,QA1,"18""",,个,138.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00582,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"18""",,个,138.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00586,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"20""",,个,171.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00587,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch20),,RF/WN,16Mn,CP05T3025,ASME B16.36(CP05T2002),NA,QNCa,"20""",,个,171.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00594,FLAN,Orifice Flange,对焊带测量孔法兰,CL300(Sch10),,RF/WN,P280GH,CP05T3052,ASME B16.36(CP05T2002),RCC-M 3,QA2,"24""",,个,247.00 ,Kg,压力(壁厚)一栏括号内为接管壁厚,
,SPF00603,FBLI,Blind Flange,法兰盖,CL2500,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 1,QA1,"1/2""",,个,3.30 ,Kg,,
,SPF00604,FBLI,Blind Flange,法兰盖,CL150,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.20 ,Kg,,
,SPF00605,FBLI,Blind Flange,法兰盖,CL150,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.20 ,Kg,,
,SPF00606,FBLI,Blind Flange,法兰盖,CL300,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.50 ,Kg,,
,SPF00607,FBLI,Blind Flange,法兰盖,CL300,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.50 ,Kg,,
,SPF00608,FBLI,Blind Flange,法兰盖,CL600,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.40 ,Kg,,
,SPF00609,FBLI,Blind Flange,法兰盖,CL600,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.40 ,Kg,,
,SPF00610,FBLI,Blind Flange,法兰盖,CL900,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.80 ,Kg,,
,SPF00611,FBLI,Blind Flange,法兰盖,CL900,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.80 ,Kg,,
,SPF00612,FBLI,Blind Flange,法兰盖,CL1500,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,1.80 ,Kg,,
,SPF00613,FBLI,Blind Flange,法兰盖,CL2500,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 2,QA1,"1/2""",,个,3.30 ,Kg,,
,SPF00614,FBLI,Blind Flange,法兰盖,CL150,,RF,022Cr17Ni12Mo2,CP05T3038,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.20 ,Kg,,
,SPF00615,FBLI,Blind Flange,法兰盖,CL150,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.20 ,Kg,,
,SPF00616,FBLI,Blind Flange,法兰盖,CL150,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.20 ,Kg,,
,SPF00617,FBLI,Blind Flange,法兰盖,CL300,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.50 ,Kg,,
,SPF00618,FBLI,Blind Flange,法兰盖,CL300,,RF,P280GH,CP05T3052,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.50 ,Kg,,
,SPF00619,FBLI,Blind Flange,法兰盖,CL600,,RF,022Cr19Ni10,CP05T3038,ASME B16.5,RCC-M 3,QA2,"1/2""",,个,1.40 ,Kg,,
,SPF00620,FBLI,Blind Flange,法兰盖,CL150,,RF,16Mn,CP05T3025,ASME B16.5,NA,QNCa,"1/2""",,个,0.50 ,Kg,,
,SPF00621,FBLI,Blind Flange,法兰盖,CL150,,RF,S30403,CP05T3023,ASME B16.5,NA,QNCa,"1/2""",,个,0.50 ,Kg,,
,SPF00622,FBLI,Blind Flange,法兰盖,CL150,,RF,S31603,CP05T3023,ASME B16.5,NA,QNCa,"1/2""",,个,1.20 ,Kg,,
