,编码,类型,英文品名,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级 ,公称直径,外径/Φ,单位,单重,单重单位,备注,
,SPC00065,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00066,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,Kg,,
,SPC00067,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,0.13 ,Kg,,
,SPC00068,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,Kg,,
,SPC00069,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,Kg,,
,SPC00070,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,,Kg,,
,SPC00071,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.20 ,Kg,,
,SPC00072,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.10 ,Kg,,
,SPC00085,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"3/4""x1/4""",,个,,Kg,,
,SPC00086,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,Kg,,
,SPC00087,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,Kg,,
,SPC00088,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,Kg,,
,SPC00089,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,0.28 ,Kg,,
,SPC00090,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,Kg,,
,SPC00091,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,Kg,,
,SPC00092,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,Kg,,
,SPC00093,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,Kg,,
,SPC00094,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,Kg,,
,SPC00095,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,Kg,,
,SPC00096,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,Kg,,
,SPC00100,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x3/8""",,个,,Kg,,
,SPC00105,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x3/8""",,个,,Kg,,
,SPC00108,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"3/4""x3/8""",,个,,Kg,,
,SPC00109,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"3/4""x1/2""",,个,,Kg,,
,SPC00110,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,,Kg,,
,SPC00111,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,,Kg,,
,SPC00112,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00113,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.28 ,Kg,,
,SPC00114,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.28 ,Kg,,
,SPC00115,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,,Kg,,
,SPC00116,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00117,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00118,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00119,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00120,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.20 ,Kg,,
,SPC00133,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"1""x1/4""",,个,,Kg,,
,SPC00135,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,Kg,,
,SPC00136,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,Kg,,
,SPC00137,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,Kg,,
,SPC00138,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,P280GH,CP05T3052,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,Kg,,
,SPC00139,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,,Kg,,
,SPC00140,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,0.28 ,Kg,,
,SPC00141,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,,Kg,,
,SPC00142,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,CP05T3023,ASME B16.11,NA,QNCa,"1""x1/4""",,个,,Kg,,
,SPC00143,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,CP05T3023,ASME B16.11,NA,QNCa,"1""x1/4""",,个,0.30 ,Kg,,
,SPC00144,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1""x1/4""",,个,,Kg,,
,SPC00148,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 2,QA1,"1""x3/8""",,个,,Kg,,
,SPC00153,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3037,ASME B16.11,RCC-M 3,QA2,"1""x3/8""",,个,,Kg,,
,SPC00156,REDU,RED.COUPLING,异径承插管接头,CL3000,FO,SW,20,CP05T3025,ASME B16.11,NA,QNCa,"1""x3/8""",,个,,Kg,,
,SPC00157,REDU,RED.COUPLING,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,CP05T3038,ASME B16.11,RCC-M 1,QA1,"1""x1/2""",,个,,Kg,,
