,编码,品名,压力(壁厚),制造形式,连接形式,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,外径/Φ,单位,单重,单重单位,备注
,CPC00025,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"3/8""x1/4""",,个,,KG,
,CPC00026,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00027,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00028,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00029,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00030,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"3/8""x1/4""",,个,,KG,
,CPC00031,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00032,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00033,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"3/8""x1/4""",,个,,KG,
,CPC00034,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00035,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00036,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"3/8""x1/4""",,个,,KG,
,CPC00049,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x1/4""",,个,,KG,
,CPC00050,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00051,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.13,KG,
,CPC00052,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00053,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,0.16,KG,
,CPC00054,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x1/4""",,个,,KG,
,CPC00055,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,,KG,
,CPC00056,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13,KG,
,CPC00057,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x1/4""",,个,0.13,KG,
,CPC00058,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,,KG,
,CPC00059,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.2,KG,
,CPC00060,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1/2""x1/4""",,个,0.1,KG,
,CPC00061,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1/2""x3/8""",,个,,KG,
,CPC00062,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00063,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00064,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00065,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00066,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1/2""x3/8""",,个,,KG,
,CPC00067,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,0.13,KG,
,CPC00068,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,KG,
,CPC00069,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1/2""x3/8""",,个,,KG,
,CPC00070,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,,KG,
,CPC00071,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.2,KG,
,CPC00072,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1/2""x3/8""",,个,0.1,KG,
,CPC00085,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"3/4""x1/4""",,个,,KG,
,CPC00086,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00087,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00088,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00089,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,0.28,KG,
,CPC00090,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"3/4""x1/4""",,个,,KG,
,CPC00091,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,KG,
,CPC00092,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,KG,
,CPC00093,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x1/4""",,个,,KG,
,CPC00094,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,KG,
,CPC00095,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,KG,
,CPC00096,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"3/4""x1/4""",,个,,KG,
,CPC00100,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x3/8""",,个,,KG,
,CPC00105,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x3/8""",,个,,KG,
,CPC00108,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"3/4""x3/8""",,个,,KG,
,CPC00109,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"3/4""x1/2""",,个,,KG,
,CPC00110,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,,KG,
,CPC00111,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,,KG,
,CPC00112,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.2,KG,
,CPC00113,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.28,KG,
,CPC00114,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"3/4""x1/2""",,个,0.28,KG,
,CPC00115,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,,KG,
,CPC00116,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,0.2,KG,
,CPC00117,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"3/4""x1/2""",,个,0.2,KG,
,CPC00118,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.2,KG,
,CPC00119,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.2,KG,
,CPC00120,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"3/4""x1/2""",,个,0.2,KG,
,CPC00133,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1""x1/4""",,个,,KG,
,CPC00135,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,KG,
,CPC00136,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,KG,
,CPC00137,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,KG,
,CPC00138,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1""x1/4""",,个,,KG,
,CPC00139,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,,KG,
,CPC00140,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,0.28,KG,
,CPC00141,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1""x1/4""",,个,,KG,
,CPC00142,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1""x1/4""",,个,,KG,
,CPC00143,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1""x1/4""",,个,0.3,KG,
,CPC00144,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1""x1/4""",,个,,KG,
,CPC00148,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1""x3/8""",,个,,KG,
,CPC00153,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1""x3/8""",,个,,KG,
,CPC00156,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1""x3/8""",,个,,KG,
,CPC00157,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1""x1/2""",,个,,KG,
,CPC00158,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/2""",,个,,KG,
,CPC00159,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/2""",,个,0.28,KG,
,CPC00160,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1""x1/2""",,个,,KG,
,CPC00161,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x1/2""",,个,,KG,
,CPC00162,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1""x1/2""",,个,,KG,
,CPC00163,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/2""",,个,0.28,KG,
,CPC00164,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x1/2""",,个,0.28,KG,
,CPC00165,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1""x1/2""",,个,0.28,KG,
,CPC00166,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1""x1/2""",,个,0.3,KG,
,CPC00167,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1""x1/2""",,个,0.3,KG,
,CPC00168,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1""x1/2""",,个,,KG,
,CPC00169,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 1,QA1,"1""x3/4""",,个,0.48,KG,
,CPC00170,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x3/4""",,个,,KG,
,CPC00171,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x3/4""",,个,,KG,
,CPC00172,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1""x3/4""",,个,0.28,KG,
,CPC00173,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1""x3/4""",,个,0.48,KG,
,CPC00174,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1""x3/4""",,个,,KG,
,CPC00175,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x3/4""",,个,0.28,KG,
,CPC00176,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1""x3/4""",,个,0.28,KG,
,CPC00177,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1""x3/4""",,个,0.28,KG,
,CPC00178,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.3,KG,
,CPC00179,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.3,KG,
,CPC00180,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1""x3/4""",,个,0.3,KG,
,CPC00194,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1/4""",,个,,KG,
,CPC00199,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1/4""",,个,,KG,
,CPC00202,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/4""x1/4""",,个,,KG,
,CPC00205,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/8""",,个,,KG,
,CPC00210,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/8""",,个,,KG,
,CPC00213,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/4""x3/8""",,个,,KG,
,CPC00216,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1/2""",,个,,KG,
,CPC00221,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1/2""",,个,,KG,
,CPC00224,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/4""x1/2""",,个,,KG,
,CPC00226,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,KG,
,CPC00227,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,KG,
,CPC00228,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,KG,
,CPC00229,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1-1/4""x3/4""",,个,,KG,
,CPC00230,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,KG,
,CPC00231,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,KG,
,CPC00232,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x3/4""",,个,,KG,
,CPC00233,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,KG,
,CPC00234,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,KG,
,CPC00235,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/4""x3/4""",,个,,KG,
,CPC00236,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,KG,
,CPC00237,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,KG,
,CPC00238,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,KG,
,CPC00239,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,KG,
,CPC00240,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1-1/4""x1""",,个,,KG,
,CPC00241,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,KG,
,CPC00242,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,KG,
,CPC00243,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/4""x1""",,个,,KG,
,CPC00244,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,KG,
,CPC00245,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,KG,
,CPC00246,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/4""x1""",,个,,KG,
,CPC00260,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/4""",,个,,KG,
,CPC00265,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/4""",,个,,KG,
,CPC00268,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x1/4""",,个,,KG,
,CPC00271,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/8""",,个,,KG,
,CPC00276,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x3/8""",,个,,KG,
,CPC00279,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x3/8""",,个,,KG,
,CPC00280,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,KG,
,CPC00281,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,KG,
,CPC00282,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,KG,
,CPC00283,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,KG,
,CPC00284,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1/2""",,个,,KG,
,CPC00285,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/2""",,个,0.52,KG,
,CPC00286,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/2""",,个,0.52,KG,
,CPC00287,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1/2""",,个,,KG,
,CPC00288,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x1/2""",,个,,KG,
,CPC00289,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x1/2""",,个,0.5,KG,
,CPC00290,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x1/2""",,个,,KG,
,CPC00291,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/4""",,个,,KG,
,CPC00292,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/4""",,个,0.52,KG,
,CPC00293,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/4""",,个,,KG,
,CPC00294,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/4""",,个,,KG,
,CPC00295,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1-1/2""x3/4""",,个,,KG,
,CPC00296,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x3/4""",,个,,KG,
,CPC00297,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x3/4""",,个,,KG,
,CPC00298,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x3/4""",,个,0.52,KG,
,CPC00299,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x3/4""",,个,,KG,
,CPC00300,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x3/4""",,个,0.5,KG,
,CPC00301,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x3/4""",,个,0.6,KG,
,CPC00302,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1""",,个,,KG,
,CPC00303,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1""",,个,,KG,
,CPC00304,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1""",,个,,KG,
,CPC00305,异径承插管接头,CL6000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1""",,个,,KG,
,CPC00306,异径承插管接头,CL6000,FO,SW,P280GH,1916T3052,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1""",,个,,KG,
,CPC00307,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1""",,个,0.52,KG,
,CPC00308,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3038,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1""",,个,,KG,
,CPC00309,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1""",,个,0.52,KG,
,CPC00310,异径承插管接头,CL3000,FO,SW,022Cr17Ni12Mo2,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x1""",,个,,KG,
,CPC00311,异径承插管接头,CL3000,FO,SW,022Cr19Ni10,1916T3023,ASME B16.11,NA,QNCa,"1-1/2""x1""",,个,0.5,KG,
,CPC00312,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x1""",,个,0.6,KG,
,CPC00315,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"1-1/2""x1-1/4""",,个,,KG,
,CPC00320,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"1-1/2""x1-1/4""",,个,,KG,
,CPC00323,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"1-1/2""x1-1/4""",,个,,KG,
,CPC00337,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"2""x1/4""",,个,,KG,
,CPC00342,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 3,QA2,"2""x1/4""",,个,,KG,
,CPC00345,异径承插管接头,CL3000,FO,SW,20,1916T3025,ASME B16.11,NA,QNCa,"2""x1/4""",,个,0.6,KG,
,CPC00348,异径承插管接头,CL3000,FO,SW,20,1916T3037,ASME B16.11,RCC-M 2,QA1,"2""x3/8""",,个,,KG,
