编号,品名,型号,材料牌号,材料标准,规格标准,尺寸,制造形式,RCC-M,质保等级,单位,单重,单重单位,备注
CWI00100,工字钢,I10,Q235C,GB/T 700-2006,GB/T 706-2008,100x68,热轧型钢,S1,QA3,M,11.261,Kg,高x宽
CWI00101,工字钢,I12,Q235C,GB/T 700-2006,GB/T 706-2008,120x74,热轧型钢,S1,QA3,M,13.987,Kg,高x宽
CWI00102,工字钢,I12.6,Q235C,GB/T 700-2006,GB/T 706-2008,126x74,热轧型钢,S1,QA3,M,14.223,Kg,高x宽
CWI00103,工字钢,I14,Q235C,GB/T 700-2006,GB/T 706-2008,140x80,热轧型钢,S1,QA3,M,16.89,Kg,高x宽
CWI00104,工字钢,I16,Q235C,GB/T 700-2006,GB/T 706-2008,160x88,热轧型钢,S1,QA3,M,20.513,Kg,高x宽
CWI00105,工字钢,I18,Q235C,GB/T 700-2006,GB/T 706-2008,180x94,热轧型钢,S1,QA3,M,24.143,Kg,高x宽
CWI00106,工字钢,I20a,Q235C,GB/T 700-2006,GB/T 706-2008,200x100,热轧型钢,S1,QA3,M,27.929,Kg,高x宽
CWI00107,工字钢,I20b,Q235C,GB/T 700-2006,GB/T 706-2008,200x102,热轧型钢,S1,QA3,M,31.069,Kg,高x宽
CWI00108,工字钢,I22a,Q235C,GB/T 700-2006,GB/T 706-2008,220x110,热轧型钢,S1,QA3,M,33.07,Kg,高x宽
CWI00109,工字钢,I22b,Q235C,GB/T 700-2006,GB/T 706-2008,220x112,热轧型钢,S1,QA3,M,36.524,Kg,高x宽
CWI00110,工字钢,I24a,Q235C,GB/T 700-2006,GB/T 706-2008,240x116,热轧型钢,S1,QA3,M,37.477,Kg,高x宽
CWI00111,工字钢,I24b,Q235C,GB/T 700-2006,GB/T 706-2008,240x118,热轧型钢,S1,QA3,M,41.245,Kg,高x宽
CWI00112,工字钢,I25a,Q235C,GB/T 700-2006,GB/T 706-2008,250x116,热轧型钢,S1,QA3,M,38.105,Kg,高x宽
CWI00113,工字钢,I25b,Q235C,GB/T 700-2006,GB/T 706-2008,250x118,热轧型钢,S1,QA3,M,42.03,Kg,高x宽
CWI00114,工字钢,I27a,Q235C,GB/T 700-2006,GB/T 706-2008,270x122,热轧型钢,S1,QA3,M,42.825,Kg,高x宽
CWI00115,工字钢,I27b,Q235C,GB/T 700-2006,GB/T 706-2008,270x124,热轧型钢,S1,QA3,M,47.064,Kg,高x宽
CWI00116,工字钢,I28a,Q235C,GB/T 700-2006,GB/T 706-2008,280x122,热轧型钢,S1,QA3,M,43.492,Kg,高x宽
CWI00117,工字钢,I28b,Q235C,GB/T 700-2006,GB/T 706-2008,280x124,热轧型钢,S1,QA3,M,47.888,Kg,高x宽
CWI00118,工字钢,I30a,Q235C,GB/T 700-2006,GB/T 706-2008,300x126,热轧型钢,S1,QA3,M,48.084,Kg,高x宽
CWI00119,工字钢,I30b,Q235C,GB/T 700-2006,GB/T 706-2008,300x128,热轧型钢,S1,QA3,M,52.794,Kg,高x宽
CWI00120,工字钢,I30c,Q235C,GB/T 700-2006,GB/T 706-2008,300x130,热轧型钢,S1,QA3,M,57.504,Kg,高x宽
CWI00121,工字钢,I32a,Q235C,GB/T 700-2006,GB/T 706-2008,320x130,热轧型钢,S1,QA3,M,52.717,Kg,高x宽
CWI00122,工字钢,I32b,Q235C,GB/T 700-2006,GB/T 706-2008,320x132,热轧型钢,S1,QA3,M,57.741,Kg,高x宽
CWI00123,工字钢,I32c,Q235C,GB/T 700-2006,GB/T 706-2008,320x134,热轧型钢,S1,QA3,M,62.765,Kg,高x宽
CWI00124,工字钢,I36a,Q235C,GB/T 700-2006,GB/T 706-2008,360x136,热轧型钢,S1,QA3,M,60.037,Kg,高x宽
CWI00125,工字钢,I36b,Q235C,GB/T 700-2006,GB/T 706-2008,360x138,热轧型钢,S1,QA3,M,65.689,Kg,高x宽
CWI00126,工字钢,I36c,Q235C,GB/T 700-2006,GB/T 706-2008,360x140,热轧型钢,S1,QA3,M,71.341,Kg,高x宽
CWI00127,工字钢,I40a,Q235C,GB/T 700-2006,GB/T 706-2008,400x142,热轧型钢,S1,QA3,M,67.598,Kg,高x宽
CWI00128,工字钢,I40b,Q235C,GB/T 700-2006,GB/T 706-2008,400x144,热轧型钢,S1,QA3,M,73.878,Kg,高x宽
CWI00129,工字钢,I40c,Q235C,GB/T 700-2006,GB/T 706-2008,400x146,热轧型钢,S1,QA3,M,80.158,Kg,高x宽
CWI00130,工字钢,I45a,Q235C,GB/T 700-2006,GB/T 706-2008,450x150,热轧型钢,S1,QA3,M,80.42,Kg,高x宽
CWI00131,工字钢,I45b,Q235C,GB/T 700-2006,GB/T 706-2008,450x152,热轧型钢,S1,QA3,M,87.485,Kg,高x宽
CWI00132,工字钢,I45c,Q235C,GB/T 700-2006,GB/T 706-2008,450x154,热轧型钢,S1,QA3,M,94.55,Kg,高x宽
CWI00133,工字钢,I50a,Q235C,GB/T 700-2006,GB/T 706-2008,500x158,热轧型钢,S1,QA3,M,93.654,Kg,高x宽
CWI00134,工字钢,I50b,Q235C,GB/T 700-2006,GB/T 706-2008,500x160,热轧型钢,S1,QA3,M,101.504,Kg,高x宽
CWI00135,工字钢,I50c,Q235C,GB/T 700-2006,GB/T 706-2008,500x162,热轧型钢,S1,QA3,M,109.354,Kg,高x宽
CWI00136,工字钢,I55a,Q235C,GB/T 700-2006,GB/T 706-2008,550x166,热轧型钢,S1,QA3,M,105.335,Kg,高x宽
CWI00137,工字钢,I55b,Q235C,GB/T 700-2006,GB/T 706-2008,550x168,热轧型钢,S1,QA3,M,113.97,Kg,高x宽
CWI00138,工字钢,I55c,Q235C,GB/T 700-2006,GB/T 706-2008,550x170,热轧型钢,S1,QA3,M,122.605,Kg,高x宽
CWI00139,工字钢,I56a,Q235C,GB/T 700-2006,GB/T 706-2008,560x166,热轧型钢,S1,QA3,M,106.316,Kg,高x宽
CWI00140,工字钢,I56b,Q235C,GB/T 700-2006,GB/T 706-2008,560x168,热轧型钢,S1,QA3,M,115.108,Kg,高x宽
CWI00141,工字钢,I56c,Q235C,GB/T 700-2006,GB/T 706-2008,560x170,热轧型钢,S1,QA3,M,123.9,Kg,高x宽
CWI00142,工字钢,I63a,Q235C,GB/T 700-2006,GB/T 706-2008,630x176,热轧型钢,S1,QA3,M,121.407,Kg,高x宽
CWI00143,工字钢,I63b,Q235C,GB/T 700-2006,GB/T 706-2008,630x178,热轧型钢,S1,QA3,M,131.298,Kg,高x宽
CWI00144,工字钢,I63c,Q235C,GB/T 700-2006,GB/T 706-2008,630x180,热轧型钢,S1,QA3,M,141.189,Kg,高x宽
CWC00100,槽钢,[5,Q235C,GB/T 700-2006,GB/T 706-2008,50x37,热轧型钢,S1,QA3,M,5.438,Kg,高x宽
CWC00101,槽钢,[6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x40,热轧型钢,S1,QA3,M,6.634,Kg,高x宽
CWC00102,槽钢,[6.5,Q235C,GB/T 700-2006,GB/T 706-2008,65x40,热轧型钢,S1,QA3,M,6.709,Kg,高x宽
CWC00103,槽钢,[8,Q235C,GB/T 700-2006,GB/T 706-2008,80x43,热轧型钢,S1,QA3,M,8.045,Kg,高x宽
CWC00104,槽钢,[10,Q235C,GB/T 700-2006,GB/T 706-2008,100x48,热轧型钢,S1,QA3,M,10.007,Kg,高x宽
CWC00105,槽钢,[12,Q235C,GB/T 700-2006,GB/T 706-2008,120x53,热轧型钢,S1,QA3,M,12.059,Kg,高x宽
CWC00106,槽钢,[12.6,Q235C,GB/T 700-2006,GB/T 706-2008,126x53,热轧型钢,S1,QA3,M,12.318,Kg,高x宽
CWC00107,槽钢,[14a,Q235C,GB/T 700-2006,GB/T 706-2008,140x58,热轧型钢,S1,QA3,M,14.535,Kg,高x宽
CWC00108,槽钢,[14b,Q235C,GB/T 700-2006,GB/T 706-2008,140x60,热轧型钢,S1,QA3,M,16.733,Kg,高x宽
CWC00109,槽钢,[16a,Q235C,GB/T 700-2006,GB/T 706-2008,160x63,热轧型钢,S1,QA3,M,17.24,Kg,高x宽
CWC00110,槽钢,[16b,Q235C,GB/T 700-2006,GB/T 706-2008,160x65,热轧型钢,S1,QA3,M,19.752,Kg,高x宽
CWC00111,槽钢,[18a,Q235C,GB/T 700-2006,GB/T 706-2008,180x68,热轧型钢,S1,QA3,M,20.174,Kg,高x宽
CWC00112,槽钢,[18b,Q235C,GB/T 700-2006,GB/T 706-2008,180x70,热轧型钢,S1,QA3,M,23,Kg,高x宽
CWC00113,槽钢,[20a,Q235C,GB/T 700-2006,GB/T 706-2008,200x73,热轧型钢,S1,QA3,M,22.637,Kg,高x宽
CWC00114,槽钢,[20b,Q235C,GB/T 700-2006,GB/T 706-2008,200x75,热轧型钢,S1,QA3,M,25.777,Kg,高x宽
CWC00115,槽钢,[22a,Q235C,GB/T 700-2006,GB/T 706-2008,220x77,热轧型钢,S1,QA3,M,24.999,Kg,高x宽
