编号,品名,型号,材料牌号,材料标准,规格标准,尺寸,制造形式,RCC-M,质保等级,单位,单重,单重单位,备注
CWC00116,槽钢,[22b,Q235C,GB/T 700-2006,GB/T 706-2008,220x79,热轧型钢,S1,QA3,M,28.453,Kg,高x宽
CWC00117,槽钢,[24a,Q235C,GB/T 700-2006,GB/T 706-2008,240x78,热轧型钢,S1,QA3,M,26.86,Kg,高x宽
CWC00118,槽钢,[24b,Q235C,GB/T 700-2006,GB/T 706-2008,240x80,热轧型钢,S1,QA3,M,30.628,Kg,高x宽
CWC00119,槽钢,[24c,Q235C,GB/T 700-2006,GB/T 706-2008,240x82,热轧型钢,S1,QA3,M,34.396,Kg,高x宽
CWC00120,槽钢,[25a,Q235C,GB/T 700-2006,GB/T 706-2008,250x78,热轧型钢,S1,QA3,M,27.41,Kg,高x宽
CWC00121,槽钢,[25b,Q235C,GB/T 700-2006,GB/T 706-2008,250x80,热轧型钢,S1,QA3,M,31.335,Kg,高x宽
CWC00122,槽钢,[25c,Q235C,GB/T 700-2006,GB/T 706-2008,250x82,热轧型钢,S1,QA3,M,35.26,Kg,高x宽
CWC00123,槽钢,[27a,Q235C,GB/T 700-2006,GB/T 706-2008,270x82,热轧型钢,S1,QA3,M,30.838,Kg,高x宽
CWC00124,槽钢,[27b,Q235C,GB/T 700-2006,GB/T 706-2008,270x84,热轧型钢,S1,QA3,M,35.077,Kg,高x宽
CWC00125,槽钢,[27c,Q235C,GB/T 700-2006,GB/T 706-2008,270x86,热轧型钢,S1,QA3,M,39.316,Kg,高x宽
CWC00126,槽钢,[28a,Q235C,GB/T 700-2006,GB/T 706-2008,280x82,热轧型钢,S1,QA3,M,31.427,Kg,高x宽
CWC00127,槽钢,[28b,Q235C,GB/T 700-2006,GB/T 706-2008,280x84,热轧型钢,S1,QA3,M,35.823,Kg,高x宽
CWC00128,槽钢,[28c,Q235C,GB/T 700-2006,GB/T 706-2008,280x86,热轧型钢,S1,QA3,M,40.219,Kg,高x宽
CWC00129,槽钢,[30a,Q235C,GB/T 700-2006,GB/T 706-2008,300x85,热轧型钢,S1,QA3,M,34.463,Kg,高x宽
CWC00130,槽钢,[30b,Q235C,GB/T 700-2006,GB/T 706-2008,300x87,热轧型钢,S1,QA3,M,39.173,Kg,高x宽
CWC00131,槽钢,[30c,Q235C,GB/T 700-2006,GB/T 706-2008,300x89,热轧型钢,S1,QA3,M,43.883,Kg,高x宽
CWC00132,槽钢,[32a,Q235C,GB/T 700-2006,GB/T 706-2008,320x88,热轧型钢,S1,QA3,M,38.083,Kg,高x宽
CWC00133,槽钢,[32b,Q235C,GB/T 700-2006,GB/T 706-2008,320x90,热轧型钢,S1,QA3,M,43.107,Kg,高x宽
CWC00134,槽钢,[32c,Q235C,GB/T 700-2006,GB/T 706-2008,320x92,热轧型钢,S1,QA3,M,48.131,Kg,高x宽
CWC00135,槽钢,[36a,Q235C,GB/T 700-2006,GB/T 706-2008,360x96,热轧型钢,S1,QA3,M,47.814,Kg,高x宽
CWC00136,槽钢,[36b,Q235C,GB/T 700-2006,GB/T 706-2008,360x98,热轧型钢,S1,QA3,M,53.466,Kg,高x宽
CWC00137,槽钢,[36c,Q235C,GB/T 700-2006,GB/T 706-2008,360x100,热轧型钢,S1,QA3,M,59.118,Kg,高x宽
CWC00138,槽钢,[40a,Q235C,GB/T 700-2006,GB/T 706-2008,400x100,热轧型钢,S1,QA3,M,58.928,Kg,高x宽
CWC00139,槽钢,[40b,Q235C,GB/T 700-2006,GB/T 706-2008,400x102,热轧型钢,S1,QA3,M,65.208,Kg,高x宽
CWC00140,槽钢,[40c,Q235C,GB/T 700-2006,GB/T 706-2008,400x104,热轧型钢,S1,QA3,M,71.488,Kg,高x宽
CWC00141,槽钢,[5,Q235B,GB/T 700-2006,GB/T 706-2008,50x37,热轧型钢,S1,QA3,M,5.438,Kg,高x宽
CWC00142,槽钢,[6.3,Q235B,GB/T 700-2006,GB/T 706-2008,63x40,热轧型钢,S1,QA3,M,6.634,Kg,高x宽
CWC00143,槽钢,[6.5,Q235B,GB/T 700-2006,GB/T 706-2008,65x40,热轧型钢,S1,QA3,M,6.709,Kg,高x宽
CWC00144,槽钢,[8,Q235B,GB/T 700-2006,GB/T 706-2008,80x43,热轧型钢,S1,QA3,M,8.045,Kg,高x宽
CWC00145,槽钢,[10,Q235B,GB/T 700-2006,GB/T 706-2008,100x48,热轧型钢,S1,QA3,M,10.007,Kg,高x宽
CWC00146,槽钢,[12,Q235B,GB/T 700-2006,GB/T 706-2008,120x53,热轧型钢,S1,QA3,M,12.059,Kg,高x宽
CWC00147,槽钢,[12.6,Q235B,GB/T 700-2006,GB/T 706-2008,126x53,热轧型钢,S1,QA3,M,12.318,Kg,高x宽
CWC00148,槽钢,[14a,Q235B,GB/T 700-2006,GB/T 706-2008,140x58,热轧型钢,S1,QA3,M,14.535,Kg,高x宽
CWC00149,槽钢,[14b,Q235B,GB/T 700-2006,GB/T 706-2008,140x60,热轧型钢,S1,QA3,M,16.733,Kg,高x宽
CWC00150,槽钢,[16a,Q235B,GB/T 700-2006,GB/T 706-2008,160x63,热轧型钢,S1,QA3,M,17.24,Kg,高x宽
CWC00151,槽钢,[16b,Q235B,GB/T 700-2006,GB/T 706-2008,160x65,热轧型钢,S1,QA3,M,19.752,Kg,高x宽
CWC00152,槽钢,[18a,Q235B,GB/T 700-2006,GB/T 706-2008,180x68,热轧型钢,S1,QA3,M,20.174,Kg,高x宽
CWC00153,槽钢,[18b,Q235B,GB/T 700-2006,GB/T 706-2008,180x70,热轧型钢,S1,QA3,M,23,Kg,高x宽
CWC00154,槽钢,[20a,Q235B,GB/T 700-2006,GB/T 706-2008,200x73,热轧型钢,S1,QA3,M,22.637,Kg,高x宽
CWC00155,槽钢,[20b,Q235B,GB/T 700-2006,GB/T 706-2008,200x75,热轧型钢,S1,QA3,M,25.777,Kg,高x宽
CWC00156,槽钢,[22a,Q235B,GB/T 700-2006,GB/T 706-2008,220x77,热轧型钢,S1,QA3,M,24.999,Kg,高x宽
CWC00157,槽钢,[22b,Q235B,GB/T 700-2006,GB/T 706-2008,220x79,热轧型钢,S1,QA3,M,28.453,Kg,高x宽
CWC00158,槽钢,[24a,Q235B,GB/T 700-2006,GB/T 706-2008,240x78,热轧型钢,S1,QA3,M,26.86,Kg,高x宽
CWC00159,槽钢,[24b,Q235B,GB/T 700-2006,GB/T 706-2008,240x80,热轧型钢,S1,QA3,M,30.628,Kg,高x宽
CWC00160,槽钢,[24c,Q235B,GB/T 700-2006,GB/T 706-2008,240x82,热轧型钢,S1,QA3,M,34.396,Kg,高x宽
CWC00161,槽钢,[25a,Q235B,GB/T 700-2006,GB/T 706-2008,250x78,热轧型钢,S1,QA3,M,27.41,Kg,高x宽
CWC00162,槽钢,[25b,Q235B,GB/T 700-2006,GB/T 706-2008,250x80,热轧型钢,S1,QA3,M,31.335,Kg,高x宽
CWC00163,槽钢,[25c,Q235B,GB/T 700-2006,GB/T 706-2008,250x82,热轧型钢,S1,QA3,M,35.26,Kg,高x宽
CWC00164,槽钢,[27a,Q235B,GB/T 700-2006,GB/T 706-2008,270x82,热轧型钢,S1,QA3,M,30.838,Kg,高x宽
CWC00165,槽钢,[27b,Q235B,GB/T 700-2006,GB/T 706-2008,270x84,热轧型钢,S1,QA3,M,35.077,Kg,高x宽
CWC00166,槽钢,[27c,Q235B,GB/T 700-2006,GB/T 706-2008,270x86,热轧型钢,S1,QA3,M,39.316,Kg,高x宽
CWC00167,槽钢,[28a,Q235B,GB/T 700-2006,GB/T 706-2008,280x82,热轧型钢,S1,QA3,M,31.427,Kg,高x宽
CWC00168,槽钢,[28b,Q235B,GB/T 700-2006,GB/T 706-2008,280x84,热轧型钢,S1,QA3,M,35.823,Kg,高x宽
CWC00169,槽钢,[28c,Q235B,GB/T 700-2006,GB/T 706-2008,280x86,热轧型钢,S1,QA3,M,40.219,Kg,高x宽
CWC00170,槽钢,[30a,Q235B,GB/T 700-2006,GB/T 706-2008,300x85,热轧型钢,S1,QA3,M,34.463,Kg,高x宽
CWC00171,槽钢,[30b,Q235B,GB/T 700-2006,GB/T 706-2008,300x87,热轧型钢,S1,QA3,M,39.173,Kg,高x宽
CWC00172,槽钢,[30c,Q235B,GB/T 700-2006,GB/T 706-2008,300x89,热轧型钢,S1,QA3,M,43.883,Kg,高x宽
CWC00173,槽钢,[32a,Q235B,GB/T 700-2006,GB/T 706-2008,320x88,热轧型钢,S1,QA3,M,38.083,Kg,高x宽
CWC00174,槽钢,[32b,Q235B,GB/T 700-2006,GB/T 706-2008,320x90,热轧型钢,S1,QA3,M,43.107,Kg,高x宽
CWC00175,槽钢,[32c,Q235B,GB/T 700-2006,GB/T 706-2008,320x92,热轧型钢,S1,QA3,M,48.131,Kg,高x宽
CWC00176,槽钢,[36a,Q235B,GB/T 700-2006,GB/T 706-2008,360x96,热轧型钢,S1,QA3,M,47.814,Kg,高x宽
CWC00177,槽钢,[36b,Q235B,GB/T 700-2006,GB/T 706-2008,360x98,热轧型钢,S1,QA3,M,53.466,Kg,高x宽
CWC00178,槽钢,[36c,Q235B,GB/T 700-2006,GB/T 706-2008,360x100,热轧型钢,S1,QA3,M,59.118,Kg,高x宽
CWC00179,槽钢,[40a,Q235B,GB/T 700-2006,GB/T 706-2008,400x100,热轧型钢,S1,QA3,M,58.928,Kg,高x宽
CWC00180,槽钢,[40b,Q235B,GB/T 700-2006,GB/T 706-2008,400x102,热轧型钢,S1,QA3,M,65.208,Kg,高x宽
CWC00181,槽钢,[40c,Q235B,GB/T 700-2006,GB/T 706-2008,400x104,热轧型钢,S1,QA3,M,71.488,Kg,高x宽
CWL00100,等边角钢,L2,Q235C,GB/T 700-2006,GB/T 706-2008,20x3,热轧型钢,S1,QA3,M,0.889,Kg,边长x边厚
CWL00101,等边角钢,L2,Q235C,GB/T 700-2006,GB/T 706-2008,20x4,热轧型钢,S1,QA3,M,1.145,Kg,边长x边厚
CWL00102,等边角钢,L2.5,Q235C,GB/T 700-2006,GB/T 706-2008,25x3,热轧型钢,S1,QA3,M,1.124,Kg,边长x边厚
CWL00103,等边角钢,L2.5,Q235C,GB/T 700-2006,GB/T 706-2008,25x4,热轧型钢,S1,QA3,M,1.459,Kg,边长x边厚
CWL00104,等边角钢,L3.0,Q235C,GB/T 700-2006,GB/T 706-2008,30x3,热轧型钢,S1,QA3,M,1.373,Kg,边长x边厚
CWL00105,等边角钢,L3.0,Q235C,GB/T 700-2006,GB/T 706-2008,30x4,热轧型钢,S1,QA3,M,1.786,Kg,边长x边厚
CWL00106,等边角钢,L3.6,Q235C,GB/T 700-2006,GB/T 706-2008,36x3,热轧型钢,S1,QA3,M,1.656,Kg,边长x边厚
CWL00107,等边角钢,L3.6,Q235C,GB/T 700-2006,GB/T 706-2008,36x4,热轧型钢,S1,QA3,M,2.163,Kg,边长x边厚
CWL00108,等边角钢,L3.6,Q235C,GB/T 700-2006,GB/T 706-2008,36x5,热轧型钢,S1,QA3,M,2.654,Kg,边长x边厚
CWL00109,等边角钢,L4,Q235C,GB/T 700-2006,GB/T 706-2008,40x3,热轧型钢,S1,QA3,M,1.852,Kg,边长x边厚
CWL00110,等边角钢,L4,Q235C,GB/T 700-2006,GB/T 706-2008,40x4,热轧型钢,S1,QA3,M,2.422,Kg,边长x边厚
CWL00111,等边角钢,L4,Q235C,GB/T 700-2006,GB/T 706-2008,40x5,热轧型钢,S1,QA3,M,2.976,Kg,边长x边厚
CWL00112,等边角钢,L4.5,Q235C,GB/T 700-2006,GB/T 706-2008,45x3,热轧型钢,S1,QA3,M,2.088,Kg,边长x边厚
CWL00113,等边角钢,L4.5,Q235C,GB/T 700-2006,GB/T 706-2008,45x4,热轧型钢,S1,QA3,M,2.736,Kg,边长x边厚
CWL00114,等边角钢,L4.5,Q235C,GB/T 700-2006,GB/T 706-2008,45x5,热轧型钢,S1,QA3,M,3.369,Kg,边长x边厚
CWL00115,等边角钢,L4.5,Q235C,GB/T 700-2006,GB/T 706-2008,45x6,热轧型钢,S1,QA3,M,3.985,Kg,边长x边厚
CWL00116,等边角钢,L5,Q235C,GB/T 700-2006,GB/T 706-2008,50x3,热轧型钢,S1,QA3,M,2.332,Kg,边长x边厚
CWL00117,等边角钢,L5,Q235C,GB/T 700-2006,GB/T 706-2008,50x4,热轧型钢,S1,QA3,M,3.059,Kg,边长x边厚
CWL00118,等边角钢,L5,Q235C,GB/T 700-2006,GB/T 706-2008,50x5,热轧型钢,S1,QA3,M,3.77,Kg,边长x边厚
CWL00119,等边角钢,L5,Q235C,GB/T 700-2006,GB/T 706-2008,50x6,热轧型钢,S1,QA3,M,4.465,Kg,边长x边厚
CWL00120,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x3,热轧型钢,S1,QA3,M,2.624,Kg,边长x边厚
CWL00121,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x4,热轧型钢,S1,QA3,M,3.446,Kg,边长x边厚
CWL00122,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x5,热轧型钢,S1,QA3,M,4.251,Kg,边长x边厚
CWL00123,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x6,热轧型钢,S1,QA3,M,5.04,Kg,边长x边厚
CWL00124,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x7,热轧型钢,S1,QA3,M,5.812,Kg,边长x边厚
CWL00125,等边角钢,L5.6,Q235C,GB/T 700-2006,GB/T 706-2008,56x8,热轧型钢,S1,QA3,M,6.568,Kg,边长x边厚
CWL00126,等边角钢,L6,Q235C,GB/T 700-2006,GB/T 706-2008,60x5,热轧型钢,S1,QA3,M,4.576,Kg,边长x边厚
CWL00127,等边角钢,L6,Q235C,GB/T 700-2006,GB/T 706-2008,60x6,热轧型钢,S1,QA3,M,5.427,Kg,边长x边厚
CWL00128,等边角钢,L6,Q235C,GB/T 700-2006,GB/T 706-2008,60x7,热轧型钢,S1,QA3,M,6.262,Kg,边长x边厚
CWL00129,等边角钢,L6,Q235C,GB/T 700-2006,GB/T 706-2008,60x8,热轧型钢,S1,QA3,M,7.081,Kg,边长x边厚
CWL00130,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x4,热轧型钢,S1,QA3,M,3.907,Kg,边长x边厚
CWL00131,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x5,热轧型钢,S1,QA3,M,4.822,Kg,边长x边厚
CWL00132,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x6,热轧型钢,S1,QA3,M,5.721,Kg,边长x边厚
CWL00133,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x7,热轧型钢,S1,QA3,M,6.603,Kg,边长x边厚
CWL00134,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x8,热轧型钢,S1,QA3,M,7.469,Kg,边长x边厚
CWL00135,等边角钢,L6.3,Q235C,GB/T 700-2006,GB/T 706-2008,63x10,热轧型钢,S1,QA3,M,9.151,Kg,边长x边厚
CWL00136,等边角钢,L7,Q235C,GB/T 700-2006,GB/T 706-2008,70x4,热轧型钢,S1,QA3,M,4.372,Kg,边长x边厚
CWL00137,等边角钢,L7,Q235C,GB/T 700-2006,GB/T 706-2008,70x5,热轧型钢,S1,QA3,M,5.397,Kg,边长x边厚
CWL00138,等边角钢,L7,Q235C,GB/T 700-2006,GB/T 706-2008,70x6,热轧型钢,S1,QA3,M,6.406,Kg,边长x边厚
CWL00139,等边角钢,L7,Q235C,GB/T 700-2006,GB/T 706-2008,70x7,热轧型钢,S1,QA3,M,7.398,Kg,边长x边厚
CWL00140,等边角钢,L7,Q235C,GB/T 700-2006,GB/T 706-2008,70x8,热轧型钢,S1,QA3,M,8.373,Kg,边长x边厚
CWL00141,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x5,热轧型钢,S1,QA3,M,5.818,Kg,边长x边厚
CWL00142,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x6,热轧型钢,S1,QA3,M,6.905,Kg,边长x边厚
CWL00143,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x7,热轧型钢,S1,QA3,M,7.976,Kg,边长x边厚
CWL00144,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x8,热轧型钢,S1,QA3,M,9.03,Kg,边长x边厚
CWL00145,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x9,热轧型钢,S1,QA3,M,10.068,Kg,边长x边厚
CWL00146,等边角钢,L7.5,Q235C,GB/T 700-2006,GB/T 706-2008,75x10,热轧型钢,S1,QA3,M,11.089,Kg,边长x边厚
CWL00147,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x5,热轧型钢,S1,QA3,M,6.211,Kg,边长x边厚
CWL00148,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x6,热轧型钢,S1,QA3,M,7.376,Kg,边长x边厚
CWL00149,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x7,热轧型钢,S1,QA3,M,8.525,Kg,边长x边厚
CWL00150,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x8,热轧型钢,S1,QA3,M,9.658,Kg,边长x边厚
CWL00151,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x9,热轧型钢,S1,QA3,M,10.774,Kg,边长x边厚
CWL00152,等边角钢,L8,Q235C,GB/T 700-2006,GB/T 706-2008,80x10,热轧型钢,S1,QA3,M,11.874,Kg,边长x边厚
CWL00153,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x6,热轧型钢,S1,QA3,M,8.35,Kg,边长x边厚
CWL00154,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x7,热轧型钢,S1,QA3,M,9.656,Kg,边长x边厚
CWL00155,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x8,热轧型钢,S1,QA3,M,10.946,Kg,边长x边厚
CWL00156,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x9,热轧型钢,S1,QA3,M,12.219,Kg,边长x边厚
CWL00157,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x10,热轧型钢,S1,QA3,M,13.476,Kg,边长x边厚
CWL00158,等边角钢,L9,Q235C,GB/T 700-2006,GB/T 706-2008,90x12,热轧型钢,S1,QA3,M,15.94,Kg,边长x边厚
CWL00159,等边角钢,L10,Q235C,GB/T 700-2006,GB/T 706-2008,100x6,热轧型钢,S1,QA3,M,9.366,Kg,边长x边厚
